StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,,,,Q2,Q2_5_TEXT,Q3,Q3_1_TEXT,Q3_2_TEXT,Q3_3_TEXT,Q4,Q4_4_TEXT,Q5,Q5_6_TEXT,Q6,Q7,Q7_4_TEXT,Q7_3_TEXT,Q8_2,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_16,Q10_17,Q10_18,Q10_19,Q10_20,Q10_21,Q10_22,Q10_23,Q10_24,Q10_25,Q10_26,Q10_27,Q10_28,Q10_29,Q10_30,Q10_31,Q10_32,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Q11_16,Q11_17,Q11_18,Q11_19,Q11_20,Q11_21,Q11_22,Q11_23,Q11_24,Q11_25,Q11_26,Q11_27,Q11_28,Q11_29,Q11_30,Q11_31,Q11_32,Q12_1,Q12_2,Q12_3,Q13_1,Q13_2,Q13_3,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q16_1,Q16_2,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q19,Q20_1,Q20_2,Q20_3,Q21,Q21_4_TEXT,Q22,Q23,Q24,Q25,Q26,Q27,Q28
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,,,,What year are you? - Selected Choice,What year are you? - Other—please describe. - Text,In what year do you expect to graduate? - Selected Choice,In what year do you expect to graduate? - May of - Text,In what year do you expect to graduate? - August of - Text,In what year do you expect to graduate? - December of - Text,Check all that apply: Duke has granted me course credit for - Selected Choice,Check all that apply: Duke has granted me course credit for - Other—please describe. - Text,What motivated you to take this course? Check all that apply. - Selected Choice,What motivated you to take this course? Check all that apply. - Other—please describe. - Text,What types occupations are you considering pursuing?,How did the Pass/Fail grading system affect your decision to take this course? - Selected Choice,How did the Pass/Fail grading system affect your decision to take this course? - It made me hesitant to take ECON 101. (Please explain why): - Text,How did the Pass/Fail grading system affect your decision to take this course? - Other—please describe. - Text,"As of right now, what do you think the probability is that you will major in economics? (Either a first or second major.) - Probability:","As of right now, do you expect to major in economics?",Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - African and African American Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Art History,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Asian and Middle Eastern Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Biology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Biomedical Engineering,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Chemistry,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Civil Engineering,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Classical Languages,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Computer Science,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Cultural Anthropology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Electrical and Computer Engineering,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - English,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Environmental Sciences,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Evolutionary Anthropology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - French Studies,"Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Gender, Sexuality, and Feminist Studies",Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - German,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Global Health,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - History,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - International Comparative Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Mathematics,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Neuroscience,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Philosophy,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Physics,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Political Science,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Psychology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Public Policy Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Sociology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Statistical Science,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Theater Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Visual and Media Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Other,"Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - African and African American Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Art History","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Asian and Middle Eastern Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Biology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Biomedical Engineering","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Chemistry","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Civil Engineering","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Classical Languages","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Computer Science","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Cultural Anthropology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Electrical and Computer Engineering","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - English","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Environmental Sciences","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Evolutionary Anthropology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - French Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Gender, Sexuality, and Feminist Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - German","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Global Health","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - History","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - International Comparative Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Mathematics","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Neuroscience","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Philosophy","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Physics","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Political Science","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Psychology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Public Policy Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Sociology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Statistical Science","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Theater Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Visual and Media Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Other","Regarding welcomeness in Economics, how do you currently feel about the environment? - I feel welcome in my class.","Regarding welcomeness in Economics, how do you currently feel about the environment? - I feel that I belong with students who major in Economics.","Regarding welcomeness in Economics, how do you currently feel about the environment? - I feel that my professor would support my choice to major in Economics.","Regarding welcomeness in Economics, how have your feelings changed since the first day of class? - I feel more welcome in my class.","Regarding welcomeness in Economics, how have your feelings changed since the first day of class? - I feel more that I belong with students who major in Economics.","Regarding welcomeness in Economics, how have your feelings changed since the first day of class? - I feel more that my professor would support my choice to major in Economics.","Regarding welcomeness in other social sciences, how do you feel or think you would feel about the environment? - I feel (or think I would feel) welcome in my classes.","Regarding welcomeness in other social sciences, how do you feel or think you would feel about the environment? - I feel (or think I would feel) that I belong with students majoring in other social sciences.","Regarding welcomeness in other social sciences, how do you feel or think you would feel about the environment? - I feel (or think I would feel) that my professors would support my choice to major in those departments.","As compared to other majors, what is your impression regarding the level of competition among Duke students in the Economics major? - In exam and course performance (ex. GPA)","As compared to other majors, what is your impression regarding the level of competition among Duke students in the Economics major? - In job and internship placements","Regarding competition, how have your feelings changed since the first day of class? - In exam and course performance (ex. GPA)","Regarding competition, how have your feelings changed since the first day of class? - In job and internship placements",Which of the following do you think might be studied by economists? Check all that apply.,"On a scale of 0 to 10, how strong is your interest in these subjects: - Logic","On a scale of 0 to 10, how strong is your interest in these subjects: - Mathematics","On a scale of 0 to 10, how strong is your interest in these subjects: - Literature or poetry","On a scale of 0 to 10, how strong is your interest in these subjects: - Art or music","On a scale of 0 to 10, how strong is your interest in these subjects: - Social relationships","On a scale of 0 to 10, how strong is your interest in these subjects: - Organization and structure of society",How frequently do you follow the news?,"Please set the slider at the appropriate level, with 0 representing extremely left political leanings, and 5 being extremely right. - Where do you see yourself on the left-to-right political spectrum?","Please set the slider at the appropriate level, with 0 representing extremely left political leanings, and 5 being extremely right. - Where do think the economics faculty is on this spectrum?","Please set the slider at the appropriate level, with 0 representing extremely left political leanings, and 5 being extremely right. - Where do you think the faculty in other social sciences is on this spectrum?",Do your answers in the previous question influence your probability of majoring in economics? - Selected Choice,Do your answers in the previous question influence your probability of majoring in economics? - Other. Please explain: - Text,Please mark the appropriate choice for the level of education received by your parents.,I am the first-born among my siblings or an only child.,"Optional: Are you of Spanish, Hispanic, or Latino origin?",Optional: Please indicate how you identify yourself. (Check all that apply.),Optional: With which gender do you identify?,Do you give permission to use your anonymized responses in future statistical research?,You have reached the end of the survey. Please click the arrow button below to submit your responses. We welcome your comments on any questions here.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}",,,,"{""ImportId"":""QID9""}","{""ImportId"":""QID9_5_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_1_TEXT""}","{""ImportId"":""QID45_2_TEXT""}","{""ImportId"":""QID45_3_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_4_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_6_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_4_TEXT""}","{""ImportId"":""QID8_3_TEXT""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID30""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID17_8""}","{""ImportId"":""QID17_9""}","{""ImportId"":""QID17_10""}","{""ImportId"":""QID17_11""}","{""ImportId"":""QID17_14""}","{""ImportId"":""QID17_15""}","{""ImportId"":""QID17_16""}","{""ImportId"":""QID17_17""}","{""ImportId"":""QID17_18""}","{""ImportId"":""QID17_19""}","{""ImportId"":""QID17_20""}","{""ImportId"":""QID17_21""}","{""ImportId"":""QID17_22""}","{""ImportId"":""QID17_23""}","{""ImportId"":""QID17_36""}","{""ImportId"":""QID17_24""}","{""ImportId"":""QID17_26""}","{""ImportId"":""QID17_27""}","{""ImportId"":""QID17_28""}","{""ImportId"":""QID17_29""}","{""ImportId"":""QID17_30""}","{""ImportId"":""QID17_31""}","{""ImportId"":""QID17_32""}","{""ImportId"":""QID17_33""}","{""ImportId"":""QID17_34""}","{""ImportId"":""QID17_35""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID37_7""}","{""ImportId"":""QID37_8""}","{""ImportId"":""QID37_9""}","{""ImportId"":""QID37_10""}","{""ImportId"":""QID37_11""}","{""ImportId"":""QID37_14""}","{""ImportId"":""QID37_15""}","{""ImportId"":""QID37_16""}","{""ImportId"":""QID37_17""}","{""ImportId"":""QID37_18""}","{""ImportId"":""QID37_19""}","{""ImportId"":""QID37_20""}","{""ImportId"":""QID37_21""}","{""ImportId"":""QID37_22""}","{""ImportId"":""QID37_23""}","{""ImportId"":""QID37_36""}","{""ImportId"":""QID37_24""}","{""ImportId"":""QID37_26""}","{""ImportId"":""QID37_27""}","{""ImportId"":""QID37_28""}","{""ImportId"":""QID37_29""}","{""ImportId"":""QID37_30""}","{""ImportId"":""QID37_31""}","{""ImportId"":""QID37_32""}","{""ImportId"":""QID37_33""}","{""ImportId"":""QID37_34""}","{""ImportId"":""QID37_35""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_3""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_3""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID3""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID47_3""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_4_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID18""}","{""ImportId"":""QID27""}","{""ImportId"":""QID16""}","{""ImportId"":""QID6""}","{""ImportId"":""QID51""}","{""ImportId"":""QID29_TEXT""}"
10/25/2019 9:24,10/25/2019 9:27,IP Address,152.3.43.230,100,175,TRUE,10/25/2019 9:27,R_O6Fjv7rAoA9zYyZ,,,,Freshman,,August of,,2023,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.",,"K-12 teacher,Wall Street-type occupation,Policy Analyst,Consultant,Working for a government agency, non-profit, foundation, NGO, etc.",It had no effect on my decision.,,,75,I expect a double major with economics being one of my majors,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Neutral,Neutral,Neutral,Yes,Neutral,Yes,Above-average competitive,Extremely competitive,No change,I now feel like it is more competitive,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",7,5,5,7,7,9,Daily,3,3,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,Asian (including Indian subcontinent and Philippines),Male,Yes,
10/25/2019 9:23,10/25/2019 9:27,IP Address,152.3.43.43,100,232,TRUE,10/25/2019 9:27,R_qzkrVmUdWO114mR,,,,Junior,,December of,,,2021,This is my first formal economics course,,I am interested in economics as a subject.,,"Policy Analyst,Lawyer,Working for a government agency, non-profit, foundation, NGO, etc.",It made my decision easier.,,,0,I expect a double major with economics being one of my majors,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Neutral,Yes,No,Neutral,Neutral,Neutral,Neutral,Yes,Extremely competitive,Extremely competitive,I now feel it is less competitive,No change,"Asset pricing,Protection of endangered species,Optimal rate at which to switch telephone service providers",8,2,6,4,8,10,A few times a week,2,3,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:24,10/25/2019 9:28,IP Address,152.3.43.49,100,266,TRUE,10/25/2019 9:28,R_1mJh1nuqGGqcB4u,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.",,"Academic or Researcher,Wall Street-type occupation,Policy Analyst,Lawyer,Working for a government agency, non-profit, foundation, NGO, etc.",It made my decision easier.,,,70,I expect a double major with economics being one of my majors,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Neutral,Neutral,Yes,Yes,Yes,Yes,Average,Above-average competitive,No change,No change,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",10,9,7,9,6,8,A few times a week,3,3,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:26,10/25/2019 9:30,IP Address,107.77.232.137,100,226,TRUE,10/25/2019 9:30,R_21olaoxbG0QCr0X,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.",,"Policy Analyst,Consultant,Working for a government agency, non-profit, foundation, NGO, etc.",It made my decision easier.,,,26,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,Pick one or two majors,,,,,,Yes,No,Neutral,Yes,Neutral,Neutral,Yes,Neutral,Neutral,Extremely competitive,Extremely competitive,No change,No change,"Asset pricing,Optimal rate at which to switch telephone service providers",5,1,6,4,7,5,A few times a week,2,3,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:25,10/25/2019 9:31,IP Address,107.77.234.140,100,415,TRUE,10/25/2019 9:31,R_1Edqap05O0cUdkD,,,,Freshman,,May of,2023,,,High school AP economics course(s).,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.",,"Policy Analyst,Consultant,Lawyer",It had no effect on my decision.,,,50,I expect a double major with economics being one of my majors,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Neutral,Neutral,Yes,Yes,Yes,Yes,Above-average competitive,Above-average competitive,I now feel it is less competitive,No change,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",7,6,1,2,5,8,A few times a week,3,3,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:28,10/25/2019 9:32,IP Address,152.3.43.50,100,247,TRUE,10/25/2019 9:32,R_3F4H4IZ6tzLF6gm,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.",,"Academic or Researcher,Wall Street-type occupation",I registered for this class not knowing it was Pass/Fail.,,,65,I expect a double major with economics being one of my majors,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,I'm not sure,Yes,Neutral,No,I'm not sure,Neutral,Neutral,Neutral,Extremely competitive,Extremely competitive,I now feel like it is more competitive,I now feel like it is more competitive,"Asset pricing,Marriage and divorce,Optimal rate at which to switch telephone service providers",6,7,2,1,5,6,A few times a month,3,3,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,"Native Hawaiian or Other Pacific Islander (Original Peoples),White (including Middle Eastern)",Male,Yes,
10/25/2019 9:28,10/25/2019 9:32,IP Address,107.77.237.51,100,214,TRUE,10/25/2019 9:32,R_3HuGYo18PQHGXPY,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am interested in economics as a subject.",,"Academic or Researcher,Policy Analyst,Working for a government agency, non-profit, foundation, NGO, etc.",I registered for this class not knowing it was Pass/Fail.,,,96,I expect a single major in economics,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Neutral,Yes,Yes,No,Yes,Yes,Neutral,Yes,Above-average competitive,Extremely competitive,I now feel like it is more competitive,I now feel like it is more competitive,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",8,5,8,5,8,9,Daily,2,3,0,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:26,10/25/2019 9:32,IP Address,152.3.43.50,100,403,TRUE,10/25/2019 9:32,R_33D91Eb92RV7zvy,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.",,Policy Analyst,It made my decision easier.,,,50,I expect a single major in economics,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Above-average competitive,Extremely competitive,I now feel like it is more competitive,I now feel like it is more competitive,Asset pricing,10,0,0,6,10,8,A few times a month,2,4,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,White (including Middle Eastern),Male,Yes,
