StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q31,Q2,Q2_5_TEXT,Q3,Q3_1_TEXT,Q3_2_TEXT,Q3_3_TEXT,Q4,Q4_4_TEXT,Q5,Q5_6_TEXT,Q6,Q8_2,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_16,Q10_17,Q10_18,Q10_19,Q10_20,Q10_21,Q10_22,Q10_23,Q10_24,Q10_25,Q10_26,Q10_27,Q10_28,Q10_29,Q10_30,Q10_31,Q10_32,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Q11_16,Q11_17,Q11_18,Q11_19,Q11_20,Q11_21,Q11_22,Q11_23,Q11_24,Q11_25,Q11_26,Q11_27,Q11_28,Q11_29,Q11_30,Q11_31,Q11_32,Q12_1,Q12_2,Q12_3,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q19,Q20_1,Q20_2,Q20_3,Q21,Q21_4_TEXT,Q22,Q23,Q24,Q25,Q26,Q27,Q28
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your net ID so you can receive credit for taking this survey.,Did you take ECON 101 last fall (Fall 2019)?,What year are you? - Selected Choice,What year are you? - Other—please describe. - Text,In what year do you expect to graduate? - Selected Choice,In what year do you expect to graduate? - May of - Text,In what year do you expect to graduate? - August of - Text,In what year do you expect to graduate? - December of - Text,Check all that apply: Duke has granted me course credit for - Selected Choice,Check all that apply: Duke has granted me course credit for - Other—please describe. - Text,What motivated you to take this course? Check all that apply. - Selected Choice,What motivated you to take this course? Check all that apply. - Other—please describe. - Text,What types occupations are you considering pursuing?,"As of right now, what do you think the probability is that you will major in economics? (Either a first or second major.) - Probability:","As of right now, do you expect to major in economics?",Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - African and African American Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Art History,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Asian and Middle Eastern Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Biology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Biomedical Engineering,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Chemistry,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Civil Engineering,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Classical Languages,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Computer Science,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Cultural Anthropology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Electrical and Computer Engineering,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - English,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Environmental Sciences,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Evolutionary Anthropology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - French Studies,"Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Gender, Sexuality, and Feminist Studies",Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - German,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Global Health,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - History,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - International Comparative Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Mathematics,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Neuroscience,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Philosophy,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Physics,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Political Science,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Psychology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Public Policy Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Sociology,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Statistical Science,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Theater Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Visual and Media Studies,Suppose that the Economics major were no longer an option. Check the one or two alternative majors you would most likely choose instead. - Other,"Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - African and African American Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Art History","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Asian and Middle Eastern Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Biology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Biomedical Engineering","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Chemistry","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Civil Engineering","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Classical Languages","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Computer Science","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Cultural Anthropology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Electrical and Computer Engineering","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - English","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Environmental Sciences","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Evolutionary Anthropology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - French Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Gender, Sexuality, and Feminist Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - German","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Global Health","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - History","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - International Comparative Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Mathematics","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Neuroscience","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Philosophy","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Physics","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Political Science","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Psychology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Public Policy Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Sociology","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Statistical Science","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Theater Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Visual and Media Studies","Since you do not plan to major in Economics, what do you plan to major in instead? Check one or two alternative majors. - Other","Regarding welcomeness in Economics, how do you currently feel about the environment? - I feel welcome in my class.","Regarding welcomeness in Economics, how do you currently feel about the environment? - I feel that I belong with students who major in Economics.","Regarding welcomeness in Economics, how do you currently feel about the environment? - I feel that my professor would support my choice to major in Economics.","Regarding welcomeness in other social sciences, how do you feel or think you would feel about the environment? - I feel (or think I would feel) welcome in my classes.","Regarding welcomeness in other social sciences, how do you feel or think you would feel about the environment? - I feel (or think I would feel) that I belong with students majoring in other social sciences.","Regarding welcomeness in other social sciences, how do you feel or think you would feel about the environment? - I feel (or think I would feel) that my professors would support my choice to major in those departments.","As compared to other majors, what is your impression regarding the level of competition among Duke students in the Economics major? - In exam and course performance (ex. GPA)","As compared to other majors, what is your impression regarding the level of competition among Duke students in the Economics major? - In job and internship placements",Which of the following do you think might be studied by economists? Check all that apply.,"On a scale of 0 to 10, how strong is your interest in these subjects: - Logic","On a scale of 0 to 10, how strong is your interest in these subjects: - Mathematics","On a scale of 0 to 10, how strong is your interest in these subjects: - Literature or poetry","On a scale of 0 to 10, how strong is your interest in these subjects: - Art or music","On a scale of 0 to 10, how strong is your interest in these subjects: - Social relationships","On a scale of 0 to 10, how strong is your interest in these subjects: - Organization and structure of society",How frequently do you follow the news?,"Please set the slider at the appropriate level, with 0 representing extremely left political leanings, and 5 being extremely right. - Where do you see yourself on the left-to-right political spectrum?","Please set the slider at the appropriate level, with 0 representing extremely left political leanings, and 5 being extremely right. - Where do think the economics faculty is on this spectrum?","Please set the slider at the appropriate level, with 0 representing extremely left political leanings, and 5 being extremely right. - Where do you think the faculty in other social sciences is on this spectrum?",Do your answers in the previous question influence your probability of majoring in economics? - Selected Choice,Do your answers in the previous question influence your probability of majoring in economics? - Other. Please explain: - Text,Please mark the appropriate choice for the level of education received by your parents.,I am the first-born among my siblings or an only child.,"Optional: Are you of Spanish, Hispanic, or Latino origin?",Optional: Please indicate how you identify yourself. (Check all that apply.),Optional: With which gender do you identify?,Do you give permission to use your anonymized responses in future statistical research?,You have reached the end of the survey. Please click the arrow button below to submit your responses. We welcome your comments on any questions here.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_5_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_1_TEXT""}","{""ImportId"":""QID45_2_TEXT""}","{""ImportId"":""QID45_3_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_4_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_6_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID30""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID17_8""}","{""ImportId"":""QID17_9""}","{""ImportId"":""QID17_10""}","{""ImportId"":""QID17_11""}","{""ImportId"":""QID17_14""}","{""ImportId"":""QID17_15""}","{""ImportId"":""QID17_16""}","{""ImportId"":""QID17_17""}","{""ImportId"":""QID17_18""}","{""ImportId"":""QID17_19""}","{""ImportId"":""QID17_20""}","{""ImportId"":""QID17_21""}","{""ImportId"":""QID17_22""}","{""ImportId"":""QID17_23""}","{""ImportId"":""QID17_36""}","{""ImportId"":""QID17_24""}","{""ImportId"":""QID17_26""}","{""ImportId"":""QID17_27""}","{""ImportId"":""QID17_28""}","{""ImportId"":""QID17_29""}","{""ImportId"":""QID17_30""}","{""ImportId"":""QID17_31""}","{""ImportId"":""QID17_32""}","{""ImportId"":""QID17_33""}","{""ImportId"":""QID17_34""}","{""ImportId"":""QID17_35""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID37_7""}","{""ImportId"":""QID37_8""}","{""ImportId"":""QID37_9""}","{""ImportId"":""QID37_10""}","{""ImportId"":""QID37_11""}","{""ImportId"":""QID37_14""}","{""ImportId"":""QID37_15""}","{""ImportId"":""QID37_16""}","{""ImportId"":""QID37_17""}","{""ImportId"":""QID37_18""}","{""ImportId"":""QID37_19""}","{""ImportId"":""QID37_20""}","{""ImportId"":""QID37_21""}","{""ImportId"":""QID37_22""}","{""ImportId"":""QID37_23""}","{""ImportId"":""QID37_36""}","{""ImportId"":""QID37_24""}","{""ImportId"":""QID37_26""}","{""ImportId"":""QID37_27""}","{""ImportId"":""QID37_28""}","{""ImportId"":""QID37_29""}","{""ImportId"":""QID37_30""}","{""ImportId"":""QID37_31""}","{""ImportId"":""QID37_32""}","{""ImportId"":""QID37_33""}","{""ImportId"":""QID37_34""}","{""ImportId"":""QID37_35""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_3""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID3""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID47_3""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_4_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID18""}","{""ImportId"":""QID27""}","{""ImportId"":""QID16""}","{""ImportId"":""QID6""}","{""ImportId"":""QID51""}","{""ImportId"":""QID29_TEXT""}"
2020-02-18 05:07:21,2020-02-18 05:10:06,IP Address,152.3.43.42,100,164,True,2020-02-18 05:10:06,R_3LjcixrkRD43zUr,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,dee13,No,Freshman,,May of,2023,,,High school AP economics course(s).,,I am interested in economics as a subject.,,"Wall Street-type occupation,Consultant",80,I expect a single major in economics,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Above-average competitive,Above-average competitive,"Asset pricing,Optimal rate at which to switch telephone service providers",0,0,0,3,7,9,A few times a week,2,2,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,True,Yes,White (including Middle Eastern),Female,Yes,
2020-02-18 05:06:51,2020-02-18 05:10:53,IP Address,198.86.29.21,100,242,True,2020-02-18 05:10:53,R_3fPK18ahxXO0H66,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,fzf,Yes,Freshman,,May of,2023,,,ECON 101,,"I am exploring potential interests.,I am exploring potential career paths.,It will help me achieve my career goals.",,"Wall Street-type occupation,Consultant,Working for a government agency, non-profit, foundation, NGO, etc.,Medical profession",85,I expect a single major in economics,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Neutral,Neutral,Yes,Neutral,Neutral,Above-average competitive,Extremely competitive,"Asset pricing,Marriage and divorce,Optimal rate at which to switch telephone service providers",8,5,3,4,7,9,Daily,2,2,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,True,No,Asian (including Indian subcontinent and Philippines),Male,Yes,
2020-02-18 05:09:05,2020-02-18 05:16:20,IP Address,198.86.29.22,100,434,True,2020-02-18 05:16:21,R_2afVjLP18j40ViE,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,lbk14,No,Sophomore,,December of,,,2021,Transfer or study abroad credit,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.,It will help me achieve my career goals.",,Wall Street-type occupation,80,I expect a single major in economics,,,,,,,,,Pick one or two majors,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Yes,Neutral,Neutral,Yes,Above-average competitive,Above-average competitive,"Asset pricing,Optimal rate at which to switch telephone service providers",8,6,4,3,6,8,Daily,2,3,0,"No, it is irrelevant.",,Only my father received a college or university degree.,True,No,White (including Middle Eastern),Male,Yes,
2020-02-18 05:16:45,2020-02-18 05:19:29,IP Address,152.3.43.44,100,163,True,2020-02-18 05:19:29,R_7PUz8paILfQDYiZ,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,lkt12,No,Freshman,,May of,2023,,,High school AP economics course(s).,,"I am exploring potential career paths.,I am interested in economics as a subject.,It will help me achieve my career goals.",,Wall Street-type occupation,10,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Neutral,Yes,Extremely competitive,Extremely competitive,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",10,10,0,0,8,8,Daily,5,0,0,"No, it is irrelevant.",,Both of my parents received a college or university degree.,True,No,White (including Middle Eastern),Male,Yes,
2020-02-18 05:17:37,2020-02-18 05:20:28,IP Address,152.3.43.42,100,170,True,2020-02-18 05:20:29,R_3FP72uH1nUntnQs,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,jaf95,No,Freshman,,May of,2023,,,Transfer or study abroad credit,,I am exploring potential career paths.,,Wall Street-type occupation,0,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,Yes,Yes,Yes,Yes,Yes,Yes,Extremely competitive,Extremely competitive,"Asset pricing,Optimal rate at which to switch telephone service providers",9,9,4,2,7,8,A few times a month,4,2,0,"No, it is irrelevant.",,Both of my parents received a college or university degree.,False,No,Black or African America (including Africa and Caribbean),Male,Yes,
2020-02-18 05:21:21,2020-02-18 05:27:50,IP Address,107.77.249.45,100,388,True,2020-02-18 05:27:50,R_3O0rp5Kmt9Zz4WT,,,,,33.60260009765625,-84.476898193359375,anonymous,EN,Ev61,No,Sophomore,,May of,2022,,,This is my first formal economics course,,"I am interested in economics as a subject.,It will help me achieve my career goals.",,"Wall Street-type occupation,Consultant",100,I expect a single major in economics,,,,,,,,,Pick one or two majors,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Yes,Yes,Neutral,Yes,Yes,Extremely competitive,Extremely competitive,"Asset pricing,Compliance by AIDS patients with their prescribed drug regimens,Optimal rate at which to switch telephone service providers",10,4,2,4,5,7,Daily,4,3,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,False,No,White (including Middle Eastern),Female,Yes,
2020-02-18 05:34:53,2020-02-18 05:37:36,IP Address,198.86.29.22,100,163,True,2020-02-18 05:37:36,R_2QSeRSSd5UW2mJW,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,Meh97,Yes,Sophomore,,May of,2022,,,ECON 101,,It will help me achieve my career goals.,,Wall Street-type occupation,97,I expect a double major with economics being one of my majors,,,,,,,,,,,,,,,Pick one or two majors,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Extremely competitive,Extremely competitive,"Asset pricing,Marriage and divorce",10,9,1,1,10,7,A few times a week,2,3,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,False,No,White (including Middle Eastern),Female,Yes,
2020-02-18 05:40:18,2020-02-18 05:43:20,IP Address,152.3.43.55,100,181,True,2020-02-18 05:43:21,R_43dIicB50UEUgNj,,,,,35.996795654296875,-78.89550018310546875,anonymous,EN,mh510,Yes,Freshman,,May of,2023,,,ECON 101,,I am exploring potential interests.,,"Consultant,Lawyer",10,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Yes,Neutral,Yes,Yes,Yes,Above-average competitive,Extremely competitive,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",9,5,4,1,3,6,A few times a week,2,3,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,False,No,Asian (including Indian subcontinent and Philippines),Female,Yes,
